doi,title,authors,journal,year,volume,issue,pages,area,method,chem,data,valid,finding,limit,cites
10.1016/j.est.2023.106931,,"Hardy, J.; Steggall, J.; Hardy, P.",Journal of Energy Storage,2023,63,,,Cell balancing & ECM,Shallow ML,NMC,self-lab,experimental hardware,shows routine cell balancing is unnecessary in well-managed packs and that its removal reduces-side reactions and hazardous lithium plating risk,"single chemistry, lab-scale pack",20
10.1016/j.est.2024.113257,,"Nicodemo, N.; Di Rienzo, R.; Lagnoni, M.; Bertei, A.; Baronti, F.",Journal of Energy Storage,2024,99,,,Cell balancing & ECM,Shallow ML,NMC,self-lab,cross-cell holdout,"maps ECM parameters to electrochemical properties with ML, giving physically interpretable health features","small cell sample, lab conditions only",47
10.1038/s41586-020-1994-5,,"Attia, P. M.; Grover, A.; Jin, N.; Severson, K. A.; Markov, T. M.; Liao, Y. H.; et al.",Nature,2020,578,7795,,Charging control,Bayesian optimization,LFP,self-lab,experimental hardware,closed-loop Bayesian optimization identified fast-charging protocols in about 2.5 months versus about 18 months of conventional trial-and-error,"small protocol search space, single cell format",1078
10.1016/j.renene.2019.08.077,,"Li, Y.; Li, K.; Xie, Y.; Liu, J.; Fu, C.; Liu, B.",Renewable Energy,2020,146,,,Charging control,Optimization-augmented control,NMC,self-lab,experimental hardware,adaptive multistage constant-current charging with online-adjusted stages shortens charge time while limiting degradation,"rule+search control, no learning from fleet data",173
10.1016/j.energy.2022.126331,,"Fan, Z.; Fu, Y.; Liang, H.; Gao, R.; Liu, S.",Energy,2023,265,,,Charging control,Optimization-augmented control,NMC,simulation,simulation,module-level charging optimization with temperature-gradient constraints reduces pack-level thermal heterogeneity,"model-based, limited experimental validation",38
10.1016/j.ensm.2022.12.034,,"Wei, Z.; Yang, X.; Li, Y.; He, H.; Li, W.; Sauer, D. U.",Energy Storage Materials,2023,56,,,Charging control,Deep learning,NMC,self-lab,experimental hardware,"perceives and regulates internal lithium plating onset during fast charging, enabling plating-free rapid charge protocols",requires non-standard internal sensing for training,113
10.1109/tte.2023.3311813,,"Dong, G.; Feng, Y.; Lou, Y.; Zhang, M.; Wei, J.",IEEE Transactions on Transportation Electrification,2024,10,2,,Charging control,Bayesian optimization,NMC,simulation,simulation plus hardware spot-check,data-driven fast-charging optimization with Bayesian optimization reduces charging time under degradation constraints,surrogate accuracy depends on training cycle data,24
10.1016/j.est.2024.111755,,"Heydarian Ardakani, A.; Abdollahi, F.",Journal of Energy Storage,2024,89,,,Charging control,Optimization-augmented control,LFP,simulation,simulation,pack-level balance-aware charge optimization accelerates charging of imbalanced packs,cell-model fidelity drives the results,15
10.1016/j.est.2024.112046,,"Duan, S.; Xia, K.; Li, J.; Zhao, Z.; Liu, H.",Journal of Energy Storage,2024,91,,,Charging control,Optimization-augmented control,NMC,simulation,simulation,"multi-objective biogeography-based optimization balances charge time, temperature rise and degradation",meta-heuristic tuning costs; simulation-only,15
10.1016/j.enconman.2025.120170,,"Cheng, F.; Liu, H.",Energy Conversion and Management,2025,342,,,Charging control,Bayesian optimization,NMC,self-lab,experimental hardware,heterogeneous ensemble surrogate models make model-based charging strategy optimization tractable,surrogate bias not fully quantified,32
10.1038/s41467-020-15235-7,,"Zhang, Y.; Tang, Q.; Zhang, Y.; Wang, J.; Stimming, U.; Lee, A. A.",Nature Communications,2020,11,1,,Cross-cutting,Shallow ML,NMC,EIS-lab,cross-cell holdout,Gaussian-process classification and regression on impedance spectra identify degradation modes and predict capacity with quantified uncertainty,EIS hardware impractical onboard; lab cells,703
10.1002/anie.202214037,,"Liu, X.; Peng, H.; Li, B.; Chen, X.; Li, Z.; Huang, J.; et al.",Angewandte Chemie International Edition,2022,61,48,,Cross-cutting,Shallow ML,Li-S,self-lab,cross-cell holdout,interpretable hybrid ML untangles co-evolving degradation chemistries in lithium-sulfur cells,chemistry-specific; small dataset,51
10.1016/j.conengprac.2022.105202,,"Liu, K.; Niri, M. F.; Apachitei, G.; Lain, M.; Greenwood, D.; Marco, J.",Control Engineering Practice,2022,124,,,Cross-cutting,Shallow ML,NMC,self-lab,cross-cell holdout,"interpretable ML links production coating parameters to cell capacity, closing a manufacturing-analytics loop","factory-specific data, limited generalization",86
10.1016/j.ensm.2022.05.007,,"Lu, J.; Xiong, R.; Tian, J.; Wang, C.; Hsu, C. W.; Tsou, N. T.; et al.",Energy Storage Materials,2022,50,,,Cross-cutting,Deep learning,mixed,Severson-MATR,cross-chemistry holdout,recurrent networks predict degradation under uncertain future load profiles by simulating unseen duty cycles,computational cost of profile simulation,234
10.1016/j.egyai.2022.100188,,"Galiounas, E.; Tranter, T. G.; Owen, R. E.; Robinson, J. B.; Shearing, P. R.; Brett, D. J.",Energy and AI,2022,10,,,Cross-cutting,Shallow ML,LCO,self-lab,cross-cell holdout,"ultrasonic signatures processed with ML estimate SOC, opening a non-electrical sensing channel for BMS",transducer integration onboard unproven,79
10.1109/jrfid.2022.3211841,,"Wang, Y.; Han, X.; Guo, D.; Lu, L.; Chen, Y.; Ouyang, M.",IEEE Journal of Radio Frequency Identification,2022,6,,,Cross-cutting,Physics-informed,NMC,NASA,within-cell split,PINN with fractional-order gradients embeds battery dynamics into a recurrent estimator for SOC,NASA dataset scale; limited drive-cycle tests,46
10.1007/s00521-022-07291-5,,"Xu, Z.; Guo, Y.; Saleh, J. H.",Neural Computing and Applications,2022,34,18,,Cross-cutting,Physics-informed,NMC,CALCE,within-cell split,physics-informed dynamic deep autoencoder improves SOH prediction accuracy over purely data-driven autoencoders,physics constraints calibrated per cell type,50
10.1002/batt.202300046,,"Haghi, S.; Hidalgo, M. F. V.; Niri, M. F.; Daub, R.; Marco, J.",Batteries & Supercaps,2023,6,7,,Cross-cutting,Shallow ML,various,review,review synthesis,maps ML use cases across lithium-ion cell production from mixing to formation and aging,production data rarely public,35
